	mean_md	spatial_dist_weighted_mean_md	mean_md_H_T54	mean_md_H_T55	mean_md_H_T64	mean_md_H_T65	mean_md_H_T74	mean_md_H_T75	mean_md_H_T84	mean_md_H_T85	mean_md_H_T5161
C95.24.T3	1.15003331510553	1.00976490171853	1.48650706558264	1.3020774198394	1.63616580913504	1.46541546742281	1.18140291522616	1.21351311749157	1.07903572735866	1.22075762498084	1.52707456619884
C95.24.T4	1.46358870139535	1.31366575430878	1.39239079560926	1.17163500702198	1.30797707422228	1.24336121685195	2.13565651178628	1.93858536870322	1.99012233055445	2.01602953800475	2.51212750380702
C95.24.T5	1.25924075210671	1.34521792467916	2.25676697122646	2.07436628702059	2.45903837911222	2.27044794889985	1.60643208664841	1.79876260243804	1.55666847453214	1.76382261696431	2.05988016514864
C95.245.T1	1.29949754992189	1.28234576040989	1.56344822260584	1.35842933289842	1.71808126517147	1.52622784125798	1.34569879624429	1.37107095942004	1.21163071587512	1.36805918734274	1.73663331086192
C95.25.T2	0.604652894648531	0.700808117623335	1.75990407459318	1.59161774959615	1.94020987664626	1.76797758856442	1.18640096991125	1.30279505453491	1.10189930014563	1.29082224382715	1.55362169021707
C95.25.T3	1.13614861685859	1.10930896229202	1.28000548832741	1.05699788421897	1.3397463799679	1.19681170240373	1.43111251592612	1.34330997323681	1.2940333935307	1.40735956927516	1.81041865096247
C95.25.T4	1.57255825587714	1.51417630564984	1.35358643719464	1.16993280407781	1.24052330250729	1.20628298723669	2.18977277777208	1.96739992380389	2.05153299509105	2.04893030260697	2.54039494646956
C95.34.T2	0.671298181644547	0.728979160634866	1.87866004118843	1.711128830906	2.06676112192982	1.89199219943453	1.22878230498754	1.37897194005769	1.16141421142626	1.36029030709383	1.61336061035136
C95.34.T3	1.26993155290717	1.11164292546057	1.21163931263886	1.11981908775037	1.06596370628229	1.12045606534651	1.85369018339381	1.6102765498711	1.75523248008228	1.70183311412631	2.10066401980379
C95.34.T4	0.973999694573845	0.714769468554389	1.61200171482805	1.44964213986779	1.75723127607282	1.62697008043627	1.0705008564474	1.15033061461554	1.0107052799943	1.15605623391021	1.368691959866
